0;-111040.06;-140142.54;29102.479;300.00107;-511.63511;512000;-111040.06;220.25695;-2.6733728e-06;-4.2396377e-07;-1.2558322e-06;-3.2371892e-07;-3.1253311e-06;-4.6741163e-07;1.8485866e-07;3.1319033e-07;-3.567181e-06
10;-126900.14;-165478.7;38578.554;397.6846;-5245.0698;512000;-111040.06;173.44961;-3.1634966e-05;-2.7934313e-07;-7.71948e-08;-4.6276424e-07;-3.2180288e-05;2.9534456e-07;-3.0438524e-07;-2.3545125e-07;-3.2199891e-05
20;-140156.98;-169332.05;29175.064;300.74931;-5933.6755;512000;-111040.06;166.43279;-3.6125284e-05;-6.9810992e-07;-4.0772864e-07;-1.1086093e-07;-3.600399e-05;3.0203346e-07;-9.4878235e-08;5.2582186e-08;-3.6491343e-05
30;-142609.99;-171603.82;28993.834;298.88111;-6301.1977;512000;-111040.06;161.29962;-3.8224855e-05;-9.165468e-07;-1.0508375e-08;-2.2947797e-07;-3.8462658e-05;7.2946899e-07;-4.9168056e-07;3.7742062e-07;-3.8660886e-05
40;-144361.57;-173452.17;29090.605;299.87867;-6617.73;512000;-111040.06;156.0587;-4.0325963e-05;-7.4544264e-07;-3.2321754e-07;-3.2345937e-07;-4.0441059e-05;3.9079949e-07;7.1724853e-08;6.4878332e-07;-4.0375752e-05
50;-146126.42;-175244.7;29118.282;300.16398;-6897.5023;512000;-111040.06;151.53125;-4.1721375e-05;-5.3286498e-07;-5.8470639e-07;-6.5441129e-07;-4.2116573e-05;6.5597639e-07;-4.7824799e-07;7.0672839e-07;-4.242628e-05
60;-147623.09;-176713.93;29090.837;299.88106;-7110.1245;512000;-111040.06;146.99308;-4.3083847e-05;-5.4474982e-07;-6.1715412e-07;-3.4539074e-07;-4.3711867e-05;2.7662174e-07;-3.5970198e-07;1.4458614e-06;-4.3360731e-05
70;-148796.56;-177984.97;29188.407;300.88686;-7284.2808;512000;-111040.06;143.33099;-4.4378375e-05;-5.3752701e-07;-8.6271839e-07;-4.3709986e-07;-4.4462159e-05;1.315904e-07;-2.4075084e-07;4.1634353e-07;-4.4503979e-05
80;-149857.63;-179042.7;29185.07;300.85246;-7414.8091;512000;-111040.06;139.75734;-4.5051276e-05;-7.0624313e-07;-7.8117197e-07;-7.4274544e-07;-4.5457598e-05;2.9905273e-08;-7.077528e-07;5.9781312e-07;-4.5225064e-05
90;-150920.5;-180010.21;29089.706;299.8694;-7508.1981;512000;-111040.06;136.73983;-4.5147023e-05;-1.3518697e-06;-3.7220773e-07;-4.6911571e-07;-4.6119144e-05;6.2868892e-07;-8.9749435e-07;3.557198e-07;-4.6177329e-05
100;-151704.06;-180792.18;29088.121;299.85306;-7588.604;512000;-111040.06;133.59451;-4.5905717e-05;-9.1538062e-07;-1.1447124e-06;-7.4257432e-07;-4.6509375e-05;-8.2505747e-08;-4.8384199e-07;5.9987814e-07;-4.6500298e-05
110;-152645.49;-181749.41;29103.925;300.01598;-7673.4236;512000;-111040.06;131.14744;-4.6463863e-05;-1.1190216e-06;-7.6074723e-07;-9.9788253e-07;-4.7696314e-05;2.6072e-07;-5.1691868e-07;2.7603472e-07;-4.6307903e-05
120;-153400.71;-182544.97;29144.259;300.43175;-7775.6737;512000;-111040.06;127.86156;-4.6941217e-05;-2.0385784e-07;-8.4463603e-07;-7.2158061e-07;-4.8277584e-05;3.2272435e-08;-7.9610725e-07;3.9080532e-07;-4.7121049e-05
130;-154079.37;-183191.17;29111.803;300.09719;-7796.4565;512000;-111040.06;125.32742;-4.7544e-05;-4.5072799e-07;-7.3526715e-07;-5.8297433e-07;-4.793128e-05;6.2034475e-08;-4.3622788e-07;4.8264074e-10;-4.7245014e-05
140;-154771.08;-183988.23;29217.146;301.18311;-7896.6093;512000;-111040.06;122.58738;-4.7857457e-05;-3.8197818e-07;-7.0309483e-07;-7.8448524e-07;-4.8829229e-05;1.3506698e-07;-7.3502643e-07;-1.5800696e-08;-4.7866985e-05
150;-155446.36;-184555.27;29108.916;300.06742;-7901.8184;512000;-111040.06;120.63667;-4.7817498e-05;-3.4729731e-07;-1.0248222e-06;-6.3940481e-07;-4.89767e-05;2.5923781e-07;-2.1310706e-07;-2.740791e-08;-4.7854829e-05
160;-155809.74;-185009.29;29199.552;301.00174;-7915.0189;512000;-111040.06;118.40399;-4.8074295e-05;-2.7870647e-07;-9.8982136e-07;-7.4401008e-07;-4.8644931e-05;-6.6178165e-07;-1.6408269e-07;5.1848596e-07;-4.8171448e-05
170;-156815.89;-185677.74;28861.85;297.52056;-7954.7361;512000;-111040.06;116.49421;-4.8747782e-05;-2.4060115e-07;-1.4115058e-06;-9.2714639e-08;-4.8548089e-05;-2.2811021e-07;-7.5666198e-07;6.8248177e-08;-4.8321856e-05
180;-156810.57;-185979.57;29168.996;300.68676;-7913.7291;512000;-111040.06;114.67739;-4.9138324e-05;6.9330989e-07;-1.2079644e-06;1.8688593e-07;-4.8154928e-05;9.6962419e-08;-5.0942532e-07;7.6129575e-07;-4.757381e-05
190;-157136.79;-186412.26;29275.468;301.78432;-7885.8321;512000;-111040.06;113.07451;-4.8777276e-05;1.5712705e-07;-7.4695842e-07;1.8405889e-07;-4.833451e-05;1.3433662e-08;-9.0523069e-08;7.0716768e-07;-4.72446e-05
200;-157263.85;-186758.5;29494.647;304.04371;-7890.7369;512000;-111040.06;111.12492;-4.8620673e-05;7.9908116e-08;-1.1795929e-06;-7.3714436e-08;-4.8354691e-05;3.8766324e-07;-1.3461179e-07;6.0392927e-07;-4.7470808e-05
210;-158607.2;-187442.23;28835.033;297.24412;-7927.3429;512000;-111040.06;110.03334;-4.8949233e-05;5.0297305e-07;-9.2849408e-07;-1.6385587e-07;-4.8587616e-05;1.2148084e-07;-2.4688718e-07;7.4450415e-07;-4.7579423e-05
220;-158994.25;-187852.19;28857.939;297.48025;-7878.8824;512000;-111040.06;108.64495;-4.8609429e-05;-4.1942788e-07;-7.6077671e-07;-9.8117606e-07;-4.7965358e-05;6.9743247e-07;-8.3799425e-07;7.3192585e-07;-4.7654378e-05
230;-159171;-188327.24;29156.236;300.55522;-7886.324;512000;-111040.06;107.29661;-4.8306202e-05;-7.7371241e-07;-1.0617207e-06;-6.2638702e-07;-4.8165161e-05;2.9562365e-07;9.6835688e-08;6.1325842e-07;-4.7894027e-05
